Year,Code      Age  Both sexes        Male      Female
1980,10    DE    4        7731        3907        3824
1980,10    DE    5        7851        3968        3883
1980,10    DE    6        7557        3861        3696
1980,10    DE    7        8090        4078        4012
1980,10    DE    8        8498        4338        4160
1980,10    DE    9        9615        4967        4648
1980,10    DE   10        9700        4928        4772
1980,10    DE   11        9304        4802        4502
1980,10    DE   12        9266        4635        4631
1980,10    DE   13        9877        4995        4882
1980,10    DE   14       10362        5352        5010
1980,10    DE   15       10975        5557        5418
1980,10    DE   16       11567        5875        5692
1980,10    DE   17       11655        5848        5807
1980,10    DE   18       12156        5921        6235
1980,10    DE   19       12984        6173        6811
1980,10    DE   20       12462        5982        6480
1980,10    DE   21       12299        5910        6389
1980,10    DE   22       11813        5832        5981
1980,10    DE   23       11235        5518        5717
1980,10    DE   24       10760        5323        5437
1980,10    DE   25       10552        5202        5350
1980,10    DE   26       10134        4986        5148
1980,10    DE   27       10168        4922        5246
1980,10    DE   28        9242        4466        4776
1980,10    DE   29        9832        4835        4997
1980,10    DE   30        9307        4544        4763
1980,10    DE   31        9282        4501        4781
1980,10    DE   32        9428        4515        4913
1980,10    DE   33       10171        5039        5132
1980,10    DE   34        7532        3717        3815
1980,10    DE   35        7510        3648        3862
1980,10    DE   36        7605        3677        3928
1980,10    DE   37        8133        3964        4169
1980,10    DE   38        7106        3461        3645
1980,10    DE   39        6931        3374        3557
1980,10    DE   40        6567        3217        3350
1980,10    DE   41        6336        3108        3228
1980,10    DE   42        6351        3128        3223
1980,10    DE   43        6040        2932        3108
1980,10    DE   44        5986        2872        3114
1980,10    DE   45        6002        2944        3058
1980,10    DE   46        5990        2892        3098
1980,10    DE   47        6153        2999        3154
1980,10    DE   48        6037        2936        3101
1980,10    DE   49        6503        3197        3306
1980,10    DE   50        6482        3117        3365
1980,10    DE   51        6346        3104        3242
1980,10    DE   52        6427        3062        3365
1980,10    DE   53        6404        3094        3310
1980,10    DE   54        6513        3138        3375
1980,10    DE   55        6449        3054        3395
1980,10    DE   56        6487        3107        3380
1980,10    DE   57        6390        2980        3410
1980,10    DE   58        6307        2954        3353
1980,10    DE   59        6152        2922        3230
1980,10    DE   60        6081        2915        3166
1980,10    DE   61        5551        2649        2902
1980,10    DE   62        5373        2560        2813
1980,10    DE   63        5195        2466        2729
1980,10    DE   64        4805        2235        2570
1980,10    DE   65        4801        2196        2605
1980,10    DE   66        4411        2048        2363
1980,10    DE   67        4240        1939        2301
1980,10    DE   68        4015        1759        2256
1980,10    DE   69        3886        1627        2259
1980,10    DE   70        3425        1467        1958
1980,10    DE   71        3439        1431        2008
1980,10    DE   72        3084        1260        1824
1980,10    DE   73        2858        1129        1729
1980,10    DE   74        2735        1056        1679
1980,10    DE   75        2441         939        1502
1980,10    DE   76        2303         900        1403
1980,10    DE   77        2083         760        1323
1980,10    DE   78        1902         695        1207
1980,10    DE   79        1824         646        1178
1980,10    DE   80        1648         555        1093
1980,10    DE   81        1519         493        1026
1980,10    DE   82        1307         422         885
1980,10    DE   83        1271         406         865
1980,10    DE   84        1087         323         764
1980,10    DE   85        5350        1454        3896
1980,11    DC    0        7781        3938        3843
1980,11    DC    1        7041        3523        3518
1980,11    DC    2        6730        3415        3315
1980,11    DC    3        6738        3338        3400
1980,11    DC    4        6434        3254        3180
1980,11    DC    5        6562        3326        3236
1980,11    DC    6        6495        3362        3133
1980,11    DC    7        6958        3548        3410
1980,11    DC    8        7461        3776        3685
1980,11    DC    9        8463        4330        4133
1980,11    DC   10        8468        4244        4224
1980,11    DC   11        8043        4078        3965
1980,11    DC   12        8036        3964        4072
1980,11    DC   13        8475        4229        4246
1980,11    DC   14        8940        4538        4402
1980,11    DC   15        9463        4670        4793
1980,11    DC   16       10184        5093        5091
1980,11    DC   17       10469        5216        5253
1980,11    DC   18       12236        5906        6330
1980,11    DC   19       14450        6701        7749
1980,11    DC   20       14021        6678        7343
1980,11    DC   21       14073        6527        7546
1980,11    DC   22       13849        6323        7526
1980,11    DC   23       14316        6596        7720
1980,11    DC   24       13879        6425        7454
1980,11    DC   25       13894        6401        7493
1980,11    DC   26       13673        6442        7231
1980,11    DC   27       13377        6340        7037
1980,11    DC   28       12551        5879        6672
1980,11    DC   29       13371        6414        6957
1980,11    DC   30       12663        6070        6593
1980,11    DC   31       11914        5616        6298
1980,11    DC   32       11598        5497        6101
1980,11    DC   33       11565        5533        6032
1980,11    DC   34        9031        4381        4650
1980,11    DC   35        9009        4370        4639
1980,11    DC   36        8544        4058        4486
1980,11    DC   37        8842        4207        4635
1980,11    DC   38        7677        3697        3980
1980,11    DC   39        7575        3701        3874
1980,11    DC   40        7336        3551        3785
